,Date,Team,Acquired,Relinquished,Notes
10188,2018-03-04,Nets,Jahlil Okafor,,returned to lineup
10189,2018-03-04,Pelicans,,Emeka Okafor,sprained right ankle (DTD)
10190,2018-03-04,Wizards,,Kelly Oubre Jr.,sore left foot (DTD)
10191,2018-03-05,Bucks,,Tyler Zeller,sore back (DTD)
10192,2018-03-05,Grizzlies,,Ben McLemore,placed on IL for personal reasons
10193,2018-03-05,Grizzlies,,Jarell Martin,right knee injury (DTD)
10194,2018-03-05,Grizzlies,,Mario Chalmers,right hamstring injury (DTD)
10195,2018-03-05,Grizzlies,Wayne Selden Jr.,,returned to lineup
10196,2018-03-05,Hawks,,Malcolm Delaney,sprained left ankle (out for season)
10197,2018-03-05,Heat,Edrice Adebayo / Bam Adebayo,,returned to lineup
10198,2018-03-05,Hornets,,Michael Carter-Williams,sprained left shoulder (out for season)
10199,2018-03-05,Jazz,,Derrick Favors,neck spasms (DTD)
10200,2018-03-05,Rockets,,Joe Johnson,illness (DTD)
10201,2018-03-06,Knicks,,Courtney Lee,placed on IL for personal reasons
10202,2018-03-06,Pelicans,Emeka Okafor,,returned to lineup
10203,2018-03-06,Wizards,Kelly Oubre Jr.,,returned to lineup
10204,2018-03-07,Grizzlies,,Chandler Parsons,placed on IL for personal reasons
10205,2018-03-07,Grizzlies,,Mario Chalmers,right hamstring injury (DTD)
10206,2018-03-07,Grizzlies,Ben McLemore,,activated from IL
10207,2018-03-07,Jazz,Derrick Favors,,returned to lineup
10208,2018-03-07,Spurs,,Pau Gasol,sprained right shoulder (DTD)
10209,2018-03-07,Warriors,,Jordan Bell,sprained right ankle (DTD)
10210,2018-03-08,Grizzlies,Chandler Parsons,,activated from IL
10211,2018-03-08,Heat,Wayne Ellington,,returned to lineup
10212,2018-03-08,Magic,,Evan Fournier,sprained MCL in left knee (out for season)
10213,2018-03-08,Spurs,,Pau Gasol,sprained ACL in right knee (DTD)
10214,2018-03-08,Timberwolves,Aaron Brooks,,activated from IL
10215,2018-03-09,Celtics,,Jaylen Brown,concussion (out indefinitely)
10216,2018-03-09,Grizzlies,Jarell Martin,,returned to lineup
10217,2018-03-09,Hornets,,Michael Carter-Williams,surgery on left shoulder to repair posterior tear in labrum (out for season)
10218,2018-03-09,Magic,,Aaron Gordon,concussion (DTD)
10219,2018-03-09,Pelicans,,Anthony Davis,sprained left ankle (DTD)
10220,2018-03-09,Pistons,,Dwight Buycks,sprained left ankle (DTD)
10221,2018-03-09,Thunder,,Terrance Ferguson,concussion (out indefinitely)
10222,2018-03-10,Cavaliers,,Cedi Osman,strained left hip (out indefinitely)
10223,2018-03-10,Cavaliers,,Rodney Hood,strained lower back (DTD)
10224,2018-03-10,Grizzlies,Chandler Parsons,,activated from IL
10225,2018-03-10,Knicks,Courtney Lee,,activated from IL
10226,2018-03-10,Spurs,Pau Gasol,,returned to lineup
10227,2018-03-10,Suns,,Devin Booker,strained left tricep (DTD)
10228,2018-03-10,Bucks,Mirza Teletovic,,returned to lineup
10229,2018-03-11,Hawks,,Dennis Schroder,sprained left elbow (DTD)
10230,2018-03-11,Knicks,,Enes Kanter,back spasms (DTD)
10231,2018-03-11,Mavericks,,Wesley Matthews / Wes Matthews Jr.,fractured right fibula (out for season)
10232,2018-03-11,Pelicans,Anthony Davis,,returned to lineup
10233,2018-03-11,Rockets,,James Harden,sore left knee (DTD)
10234,2018-03-11,Spurs,,LaMarcus Aldridge,sore right knee (DTD)
10235,2018-03-12,Celtics,,Daniel Theis,torn meniscus in left knee (out for season)
10236,2018-03-12,Celtics,,Marcus Smart,sprained right thumb (out indefinitely)
10237,2018-03-12,Hawks,,Jaylen Morris,sprained left ankle (out for season)
10238,2018-03-12,Hawks,,Kent Bazemore,bone bruise in right knee (out for season)
10239,2018-03-12,Jazz,,Raulzinho Neto / Raul Neto,fractured left wrist (out indefinitely)
10240,2018-03-12,Rockets,James Harden,,returned to lineup
10241,2018-03-13,Clippers,,Avery Bradley,surgery to repair athletic pubalgia / sports hernia (out for season)
10242,2018-03-13,Hawks,Dennis Schroder,,returned to lineup
10243,2018-03-13,Knicks,Enes Kanter,,returned to lineup
10244,2018-03-13,Nets,,Jarrett Allen,sore left foot (DTD)
10245,2018-03-13,Pistons,,Reggie Bullock,back injury (DTD)
10246,2018-03-13,Suns,Devin Booker,,returned to lineup
10247,2018-03-13,Warriors,,Draymond Green,sore right shoulder (DTD)
10248,2018-03-14,Celtics,,Kyrie Irving,sore left knee (DTD)
10249,2018-03-14,Heat,,Josh Richardson,sore left foot (DTD)
10250,2018-03-14,Lakers,,Kyle Kuzma,sprained right ankle (DTD)
10251,2018-03-14,Pacers,,Domantas Sabonis / Domas Sabonis,sprained left ankle (DTD)
10252,2018-03-14,Rockets,,Zhou Qi / Qi Zhou,rib injury (DTD)
10253,2018-03-15,Knicks,,Lance Thomas,placed on IL for personal reasons
10254,2018-03-15,Pistons,Dwight Buycks,,returned to lineup
10255,2018-03-15,Pistons,Reggie Bullock,,returned to lineup
10256,2018-03-16,76ers,,Timothe Luwawu-Cabarrot,patellar tendinitis in right knee (DTD)
10257,2018-03-16,Bulls,,Kris Dunn,sprained right toe (out for season)
10258,2018-03-16,Celtics,,Marcus Smart,surgery on right thumb (out indefinitely)
10259,2018-03-16,Heat,Josh Richardson,,returned to lineup
10260,2018-03-16,Kings,,Vince Carter,placed on IL for personal reasons
10261,2018-03-16,Knicks,,Courtney Lee,personal reasons (DTD)
10262,2018-03-16,Lakers,Kyle Kuzma,,returned to lineup
10263,2018-03-16,Nets,Jarrett Allen,,returned to lineup
10264,2018-03-17,Bulls,,Noah Vonleh,sprained right toe (DTD)
10265,2018-03-17,Cavaliers,,Kyle Korver,personal reasons (death of brother) (DTD)
10266,2018-03-17,Cavaliers,,Rodney Hood,strained lower back (DTD)
10267,2018-03-17,Knicks,,Courtney Lee,placed on IL for personal reasons
10268,2018-03-17,Knicks,Lance Thomas,,activated from IL
10269,2018-03-17,Nuggets,,Gary Harris,right knee injury (DTD)
10270,2018-03-17,Pelicans,,Rajon Rondo,rest (DTD)
10271,2018-03-17,Rockets,Ryan Anderson,,returned to lineup
10272,2018-03-17,Suns,,Devin Booker,sprained right hand (out for season)
10273,2018-03-17,Suns,,Tyson Chandler,neck injury (out for season)
10274,2018-03-18,Hornets,,Nicolas Batum,left Achilles tendinitis (DTD)
10275,2018-03-18,Pelicans,Rajon Rondo,,returned to lineup
10276,2018-03-18,Rockets,Zhou Qi / Qi Zhou,,returned to lineup
10277,2018-03-19,Bulls,Noah Vonleh,,returned to lineup
10278,2018-03-19,Cavaliers,,Tyronn Lue,took leave of absence as head coach to address health issues
10279,2018-03-19,Cavaliers,Kyle Korver,,returned to lineup
10280,2018-03-19,Grizzlies,,Marc Gasol,illness (DTD)
10281,2018-03-19,Hawks,,John Collins (Martin),sprained left ankle (DTD)
10282,2018-03-19,Jazz,,Derrick Favors,sore left knee (DTD)
10283,2018-03-19,Kings,Vince Carter,,activated from IL
10284,2018-03-19,Knicks,,Lance Thomas,placed on IL for personal reasons
10285,2018-03-19,Knicks,Courtney Lee,,activated from IL
10286,2018-03-19,Magic,Aaron Gordon,,returned to lineup
10287,2018-03-20,Cavaliers,,Kyle Korver,personal reasons (death of brother) (DTD)
10288,2018-03-20,Magic,,Jonathon Simmons,bruised right wrist (out for season)
10289,2018-03-20,Pelicans,,Jrue Holiday,illness (DTD)
10290,2018-03-20,Raptors,,DeMar DeRozan,bruised left thigh (DTD)
10291,2018-03-21,Cavaliers,,Kyle Korver,placed on IL for personal reasons (death of brother)
10292,2018-03-21,Grizzlies,,Ivan Rabb,right heel injury (DTD)
10293,2018-03-21,Hornets,,Nicolas Batum,sore left Achilles (DTD)
10294,2018-03-21,Kings,,Garrett Temple,sprained left ankle (out for season)
10295,2018-03-21,Pelicans,Jrue Holiday,,returned to lineup
10296,2018-03-21,Raptors,DeMar DeRozan,,returned to lineup
10297,2018-03-21,Nets,,Dante Cunningham,DNP
10298,2018-03-22,Bulls,,Antonio Blakeney,fractured left wrist (out for season)
10299,2018-03-22,Grizzlies,,Andrew Harrison,right wrist injury (DTD)
10300,2018-03-22,Grizzlies,Ivan Rabb,,returned to lineup
10301,2018-03-22,Hawks,,Dennis Schroder,rest (DTD)
10302,2018-03-22,Magic,,Jonathan Isaac,sprained left foot (DTD)
10303,2018-03-22,Rockets,,Chris Paul,sore left hamstring (DTD)
10304,2018-03-22,Warriors,,Draymond Green,bruised pelvis (DTD)
10305,2018-03-23,Blazers,,Shabazz Napier,left big toe injury (DTD)
10306,2018-03-23,Celtics,,Kyrie Irving,surgery on left knee (out for season)
10307,2018-03-23,Grizzlies,,Ivan Rabb,right heel injury (DTD)
10308,2018-03-23,Hawks,Dennis Schroder,,returned to lineup
10309,2018-03-23,Hawks,John Collins (Martin),John Collins (Martin),returned to lineup
10310,2018-03-23,Nets,Dante Cunningham,,returned to lineup
10311,2018-03-23,Timberwolves,,Derrick Rose,sprained right ankle (DTD)
10312,2018-03-24,Grizzlies,,Chandler Parsons,sore right knee (DTD)
10313,2018-03-24,Grizzlies,,Tyreke Evans,placed on IL for personal reasons (out for season)
10314,2018-03-24,Grizzlies,Andrew Harrison,,returned to lineup
10315,2018-03-24,Lakers,,Isaiah Thomas,right hip injury (out for season)
10316,2018-03-24,Lakers,,Luol Deng,sprained left ankle (DTD)
10317,2018-03-24,Pelicans,,Nikola Mirotic,hip injury (DTD)
10318,2018-03-24,Pelicans,,Nikola Mirotic,right hip flexor injury (DTD)
10319,2018-03-24,Pelicans,,Rajon Rondo,sprained right wrist (DTD)
10320,2018-03-24,Rockets,,Luc Richard Mbah a Moute / Luc Mbah a Moute,sore left knee (DTD)
10321,2018-03-24,Warriors,,Stephen Curry,sprained MCL in left knee (out indefinitely)
10322,2018-03-25,Blazers,Shabazz Napier,,returned to lineup
10323,2018-03-25,Hawks,,Dennis Schroder,sprained left ankle (out for season)
10324,2018-03-25,Knicks,,Damyean Dotson,sprained right foot (DTD)
10325,2018-03-25,Knicks,,Kyle O'Quinn,strained left hip (DTD)
10326,2018-03-25,Knicks,Lance Thomas,,activated from IL
10327,2018-03-25,Warriors,,Draymond Green,flu (DTD)
10328,2018-03-26,Bulls,,Paul Zipser,sore left foot (out for season)
10329,2018-03-26,Grizzlies,Chandler Parsons,,returned to lineup
10330,2018-03-26,Knicks,,Emmanuel Mudiay,illness (DTD)
10331,2018-03-26,Mavericks,,Jose Juan Barea / Jose Barea / J.J. Barea,personal reasons (DTD)
10332,2018-03-27,Heat,,Edrice Adebayo / Bam Adebayo,sprained right ankle (DTD)
10333,2018-03-27,Mavericks,,Dwight Powell,left knee injury (DTD)
10334,2018-03-27,Mavericks,,Dwight Powell,bursitis in knee (DTD)
10335,2018-03-27,Mavericks,,Jose Juan Barea / Jose Barea / J.J. Barea,placed on IL for personal reasons
10336,2018-03-27,Mavericks,,Nerlens Noel,rest (DTD)
10337,2018-03-27,Pelicans,,Alexis Ajinca / Alex Ajinca,surgery on left knee (out for season)
10338,2018-03-27,Pelicans,,Rajon Rondo,sprained right wrist (DTD)
10339,2018-03-27,Pelicans,Nikola Mirotic,,returned to lineup
10340,2018-03-27,Rockets,,Clint Capela,sprained left thumb (DTD)
10341,2018-03-27,Rockets,Chris Paul,,returned to lineup
10342,2018-03-27,Blazers,,Maurice Harkless / Moe Harkless,surgery on left knee (out indefinitely)
10343,2018-03-27,Warriors,,Chris Boucher,sprained left ankle (DTD)
10344,2018-03-28,76ers,,Amir Johnson,illness (DTD)
10345,2018-03-28,76ers,,Justin Anderson,sore right ankle (DTD)
10346,2018-03-28,Blazers,,Damian Lillard,personal reasons (DTD)
10347,2018-03-28,Cavaliers,,Kevin Love,concussion (out indefinitely)
10348,2018-03-28,Celtics,,Al Horford,ankle injury (DTD)
10349,2018-03-28,Celtics,,Marcus Morris,sprained right ankle (DTD)
10350,2018-03-28,Clippers,,Milos Teodosic,plantar fascia in left foot (out for season)
10351,2018-03-28,Grizzlies,,Andrew Harrison,right wrist injury (out for season)
10352,2018-03-28,Knicks,,Courtney Lee,left foot injury (DTD)
10353,2018-03-28,Knicks,Damyean Dotson,,returned to lineup
10354,2018-03-28,Knicks,Emmanuel Mudiay,,returned to lineup
10355,2018-03-28,Lakers,,Isaiah Thomas,surgery on right hip (out for season)
10356,2018-03-28,Magic,,Wesley Iwundu / Wes Iwundu,illness (DTD)
10357,2018-03-28,Mavericks,,Salah Mejri,bruised right knee (DTD)
10358,2018-03-28,Mavericks,Dwight Powell,,returned to lineup
10359,2018-03-28,Mavericks,Nerlens Noel,,returned to lineup
10360,2018-03-28,Nets,,Isaiah Whitehead,sprained right wrist (out for season)
10361,2018-03-28,Suns,,Alex Len,sprained left ankle (DTD)
10362,2018-03-28,Suns,,Elfrid Payton,left knee injury (out for season)
10363,2018-03-29,76ers,,Joel Embiid,fractured left orbital bone (out indefinitely)
10364,2018-03-29,Bulls,,Cristiano Felicio,sore lower back (DTD)
10365,2018-03-29,Bulls,,Lauri Markkanen,rest (DTD)
10366,2018-03-29,Warriors,Draymond Green,,returned to lineup
10367,2018-03-30,76ers,Amir Johnson,,returned to lineup
10368,2018-03-30,Blazers,Damian Lillard,,returned to lineup
10369,2018-03-30,Bucks,,John Henson,right index finger injury (DTD)
10370,2018-03-30,Bulls,Lauri Markkanen,,returned to lineup
10371,2018-03-30,Cavaliers,Kevin Love,,returned to lineup
10372,2018-03-30,Clippers,,Jawun Evans,abdominal injury / sports hernia / athletic pubalgia (out for season)
10373,2018-03-30,Grizzlies,,Chandler Parsons,rest (DTD)
10374,2018-03-30,Jazz,,Ricky Rubio,hamstring injury (DTD)
10375,2018-03-30,Jazz,,Ricky Rubio,sore left hamstring (DTD)
10376,2018-03-30,Lakers,,Lonzo Ball,bruised left knee (out for season)
10377,2018-03-30,Magic,Jonathan Isaac,,returned to lineup
10378,2018-03-30,Pelicans,Rajon Rondo,,returned to lineup
10379,2018-03-30,Rockets,,Chris Paul,sore left hip / rest (DTD)
10380,2018-03-30,Rockets,,Eric Gordon,sore left / right knee (DTD)
10381,2018-03-30,Rockets,Clint Capela,,returned to lineup
10382,2018-03-30,Suns,,Jared Dudley,sore left ankle (DTD)
10383,2018-03-30,Warriors,,Andre Iguodala,sore left knee (DTD)
10384,2018-03-31,76ers,,Joel Embiid,surgery to repair fractured left orbital bone (out indefinitely)
10385,2018-03-31,Celtics,Al Horford,,returned to lineup
10386,2018-03-31,Celtics,Marcus Morris,,returned to lineup
10387,2018-03-31,Hornets,,Jeremy Lamb,sore left foot (DTD)
10388,2018-03-31,Knicks,,Frank Ntilikina,illness (DTD)
10389,2018-03-31,Warriors,Chris Boucher,,returned to lineup
10390,2018-04-01,76ers,Justin Anderson,,returned to lineup
10391,2018-04-01,Grizzlies,,JaMychal Green,sore left knee (out for season)
10392,2018-04-01,Grizzlies,,MarShon Brooks,left ankle injury (DTD)
10393,2018-04-01,Hornets,,Dwayne Bacon,sprained right ankle (out for season)
10394,2018-04-01,Hornets,Jeremy Lamb,,returned to lineup
10395,2018-04-01,Jazz,Ricky Rubio,,returned to lineup
10396,2018-04-01,Kings,,Zach Randolph,personal reasons (DTD)
10397,2018-04-01,Magic,Wesley Iwundu / Wes Iwundu,,returned to lineup
10398,2018-04-01,Pistons,,James Ennis,bruised right hand (DTD)
10399,2018-04-01,Rockets,,Chris Paul,sore left leg (DTD)
10400,2018-04-01,Rockets,Eric Gordon,,returned to lineup
10401,2018-04-01,Timberwolves,,Jeff Teague,knee injury (DTD)
10402,2018-04-01,Wizards,,John Wall (a),rest (DTD)
10403,2018-04-01,Cavaliers,Cavaliers,,activated from IL
10404,2018-04-01,Cavaliers,Kyle Korver,,activated from IL
10405,2018-04-01,Cavaliers,,Kyle Korver,sore right foot (DTD)
10406,2018-04-02,Knicks,,Troy Williams,fractured jaw (out for season)
10407,2018-04-03,Bulls,,Denzel Valentine,surgery on left knee (out for season)
10408,2018-04-03,Cavaliers,Kyle Korver,,returned to lineup
10409,2018-04-03,Clippers,,Danilo Gallinari,sore right hand (out for season)
10410,2018-04-03,Grizzlies,,Wayne Selden Jr.,sore right knee (out for season)
10411,2018-04-03,Hawks,,Dewayne Dedmon,sore ribs (DTD)
10412,2018-04-03,Kings,,Skal Labissiere,sprained left ankle (out for season)
10413,2018-04-03,Knicks,Courtney Lee,,returned to lineup
10414,2018-04-03,Knicks,Frank Ntilikina,,returned to lineup
10415,2018-04-03,Magic,,Jonathan Isaac,sprained left ankle (out for season)
10416,2018-04-03,Mavericks,Jose Juan Barea / Jose Barea / J.J. Barea,,activated from IL
10417,2018-04-03,Mavericks,Salah Mejri,,returned to lineup
10418,2018-04-03,Nets,,Isaiah Whitehead,surgery on right wrist (out for season)
10419,2018-04-03,Rockets,,Trevor Ariza,rest (DTD)
10420,2018-04-03,Rockets,Chris Paul,,returned to lineup
10421,2018-04-03,Suns,Alex Len,,returned to lineup
10422,2018-04-03,Warriors,,Shaun Livingston,personal reasons (DTD)
10423,2018-04-04,Grizzlies,MarShon Brooks,,returned to lineup
10424,2018-04-04,Hawks,Dewayne Dedmon,,returned to lineup
10425,2018-04-04,Nets,,DeMarre Carroll,strained left hip (out for season)
10426,2018-04-04,Pistons,James Ennis,,returned to lineup
10427,2018-04-04,Rockets,,Ryan Anderson,sprained left ankle (DTD)
10428,2018-04-04,Grizzlies,Chandler Parsons,,returned to lineup
10429,2018-04-05,Cavaliers,Tyronn Lue,,returned as head coach
10430,2018-04-05,Celtics,,Kyrie Irving,surgery on left knee to remove 2 screws (out for season) (date approximate)
10431,2018-04-05,Grizzlies,,Jarell Martin,left ankle injury (out for season)
10432,2018-04-05,Mavericks,,Dirk Nowitzki,surgery on left ankle to remove loose debris (out for season)
10433,2018-04-05,Nets,,Dante Cunningham,back injury (DTD)
10434,2018-04-05,Rockets,Trevor Ariza,,returned to lineup
10435,2018-04-05,Suns,,Alan Williams,sore right knee (out for season)
10436,2018-04-05,Timberwolves,Jeff Teague,,returned to lineup
10437,2018-04-05,Warriors,Shaun Livingston,,returned to lineup
10438,2018-04-06,Grizzlies,,Marc Gasol,DTD
10439,2018-04-06,Magic,,Aaron Gordon,sore right calf (DTD)
10440,2018-04-06,Magic,,Nikola Vucevic,tightness in lower back (DTD)
10441,2018-04-06,Mavericks,,Salah Mejri,rest / knee injury (out for season)
10442,2018-04-06,Pelicans,,Ian Clark,sprained right ankle (DTD)
10443,2018-04-06,Suns,,Troy Daniels,sprained right ankle (DTD)
10444,2018-04-06,Suns,Jared Dudley,,returned to lineup
10445,2018-04-06,Wizards,,Ian Mahinmi,concussion (DTD)
10446,2018-04-07,Bucks,,Shabazz Muhammad,sprained right ankle (DTD)
10447,2018-04-07,Bucks,,Sterling Brown,placed on IL for personal reasons
10448,2018-04-07,Knicks,,Tim Hardaway Jr.,sprained left ankle (out for season)
10449,2018-04-07,Nets,Dante Cunningham,,returned to lineup
10450,2018-04-07,Rockets,,Tarik Black,sore lower back (DTD)
10451,2018-04-08,Grizzlies,Marc Gasol,,returned to lineup
10452,2018-04-08,Magic,Aaron Gordon,,returned to lineup
10453,2018-04-08,Magic,Nikola Vucevic,,returned to lineup
10454,2018-04-08,Suns,,Josh Jackson,bruised right quadriceps (out for season)
10455,2018-04-08,Suns,Troy Daniels,,returned to lineup
10456,2018-04-09,Bucks,Shabazz Muhammad,,returned to lineup
10457,2018-04-09,Bucks,Sterling Brown,,activated from IL
10458,2018-04-09,Clippers,,Austin Rivers,sore right elbow (out for season)
10459,2018-04-09,Clippers,,Louis Williams / Lou Williams,sprained right ankle (out for season)
10460,2018-04-09,Hawks,,Malcolm Delaney,arthroscopic surgery on left ankle (out for season)
10461,2018-04-09,Kings,,Frank Mason,partially torn plantar fascia in left foot (out for season)
10462,2018-04-09,Nets,,Joe Harris,sprained left ankle (out for season)
10463,2018-04-09,Pelicans,Ian Clark,,returned to lineup
10464,2018-04-10,Mavericks,,Doug McDermott,elbow injury (out for season)
10465,2018-04-10,Rockets,,Luc Richard Mbah a Moute / Luc Mbah a Moute,dislocated right shoulder (DTD)
10466,2018-04-10,Suns,,Troy Daniels,sprained right ankle (DTD)
10467,2018-04-10,Thunder,,Alex Abrines,concussion (DTD)
10468,2018-04-10,Wizards,Ian Mahinmi,,returned to lineup
10469,2018-04-11,76ers,,J.J. Redick,tightness in lower back (DTD)
10470,2018-04-11,Knicks,,Courtney Lee,sprained left ankle (out for season)
10471,2018-04-11,Pistons,,Jameer Nelson,illness (out for season)
10472,2018-04-11,Rockets,,Chris Paul,rest (DTD)
10473,2018-04-11,Rockets,,Clint Capela,hand injury (DTD)
10474,2018-04-11,Rockets,,Eric Gordon,ankle injury / rest (DTD)
10475,2018-04-11,Rockets,,James Harden,rest (DTD)
10476,2018-04-12,Hawks,,DeAndre' Bembry / DeAndre Bembry,fractured right wrist (out for season)
10477,2018-04-14,76ers,J.J. Redick,,returned to lineup
10478,2018-04-15,Rockets,Chris Paul,,returned to lineup
10479,2018-04-15,Rockets,Clint Capela,,returned to lineup
10480,2018-04-15,Rockets,Eric Gordon,,returned to lineup
10481,2018-04-15,Rockets,James Harden,,returned to lineup
10482,2018-04-15,Spurs,,Joffrey Lauvergne,personal reasons (DTD)
10483,2018-04-16,Spurs,,Joffrey Lauvergne,placed on IL for personal reasons
10484,2018-04-18,Timberwolves,,Justin Patton,surgery on left foot (out for season)
10485,2018-04-19,Spurs,,Gregg Popovich,head coach personal reasons (death of wife)
10486,2018-04-20,Pacers,,Joe Young,illness (DTD)
10487,2018-04-22,Pacers,Joe Young,,returned to lineup
10488,2018-04-22,Spurs,Joffrey Lauvergne,,activated from IL
10489,2018-04-23,Timberwolves,,Tyus Jones,sore right knee (DTD)
10490,2018-04-25,Timberwolves,Tyus Jones,,returned to lineup
10491,2018-04-26,Nuggets,,Mason Plumlee,surgery to repair core muscle injury (out for season)
10492,2018-04-27,Wizards,,Otto Porter Jr.,surgery on left leg to remove blood around a contusion (out indefinitely)
10493,2018-04-30,Celtics,,Jaylen Brown,strained right hamstring (DTD)
10494,2018-05-03,Celtics,Jaylen Brown,,returned to lineup
10495,2018-05-07,Jazz,,Dante Exum,strained left hamstring (out for season)
10496,2018-05-09,Celtics,,Shane Larkin,sprained left shoulder (out for season)
10497,2018-05-09,Thunder,,Paul George,arthroscopic surgery on right knee (out indefinitely)
10498,2018-05-22,Warriors,,Andre Iguodala,bruised left leg (DTD)
10499,2018-05-25,Rockets,,Chris Paul,strained right hamstring (out for season)
10500,2018-05-26,Cavaliers,,Kevin Love,concussion (DTD)
10501,2018-05-31,Cavaliers,Kevin Love,,returned to lineup
10502,2018-06-06,Warriors,Andre Iguodala,,returned to lineup
10503,2018-09-24,Warriors,,DeMarcus Cousins,recovering from surgery to repair torn left Achilles tendon (out indefinitely)
10504,2018-10-03,Bulls,,Omer Asik,illness (out indefinitely)
10505,2018-10-07,Spurs,Dejounte Murray,,torn ACL in right knee (out for season)
10506,2018-10-12,Spurs,,Derrick White,plantar fascia in left foot (out indefinitely)
10507,2018-10-14,Mavericks,,Harrison Barnes,strained right hamstring (DTD)
10508,2018-10-16,76ers,,Zhaire Smith,surgery on left foot (out indefinitely)
10509,2018-10-16,Celtics,,Jabari Bird,placed on IL for personal reasons
10510,2018-10-16,Hawks,,Dewayne Dedmon,left ankle injury (DTD)
10511,2018-10-16,Hawks,,Justin Anderson,tibia injury (DTD)
10512,2018-10-16,Knicks,,Emmanuel Mudiay,sprained right ankle (DTD)
10513,2018-10-16,Nets,,Allen Crabbe,sprained left ankle (DTD)
10514,2018-10-16,Nets,,DeMarre Carroll,arthroscopic surgery on right ankle (out indefinitely)
10515,2018-10-16,Nuggets,,Isaiah Thomas,right hip injury (DTD)
10516,2018-10-16,Nuggets,,Jarred Vanderbilt,right foot injury (DTD)
10517,2018-10-16,Rockets,,Marquese Chriss,sprained left ankle (DTD)
10518,2018-10-16,Rockets,,Nene / Nene Hilario / Maybyner Hilario,strained right calf (out indefinitely)
10519,2018-10-16,Thunder,,Russell Westbrook,right knee injury (DTD)
10520,2018-10-16,Warriors,,Damion Lee,left foot injury (DTD)
10521,2018-10-17,Bucks,,Trevon Duval,left eye injury (DTD)
10522,2018-10-17,Cavaliers,,J.R. Smith,sore right elbow (DTD)
10523,2018-10-17,Hawks,,Daniel Hamilton,torn rotator cuff in shoulder (out indefinitely)
10524,2018-10-17,Heat,,Wayne Ellington,sore left ankle (DTD)
10525,2018-10-17,Kings,,Bogdan Bogdanovic,left knee injury (out indefinitely)
10526,2018-10-17,Knicks,,Courtney Lee,neck injury (DTD)
10527,2018-10-17,Knicks,,Kristaps Porzingis,recovering from surgery on left knee to repair torn ACL (out for season)
10528,2018-10-17,Mavericks,,Dirk Nowitzki,surgery on left ankle (out indefinitely)
10529,2018-10-17,Nets,,Alan Williams,ankle injury (DTD)
10530,2018-10-17,Nets,,Rondae Hollis-Jefferson,left groin injury (DTD)
10531,2018-10-17,Nuggets,,Michael Porter Jr.,surgery on back (out for season)
10532,2018-10-17,Pistons,,Reggie Bullock,illness (DTD)
10533,2018-10-17,Pistons,,Stanley Johnson,toe injury (DTD)
10534,2018-10-17,Raptors,,Chris Boucher,head injury (DTD)
10535,2018-10-17,Raptors,,Delon Wright,left groin injury (DTD)
10536,2018-10-17,Rockets,,Zhou Qi / Qi Zhou,sprained left knee (DTD)
10537,2018-10-17,Timberwolves,,Justin Patton,right foot injury (DTD)
10538,2018-10-18,Bulls,,Cristiano Felicio,sprained left ankle (DTD)
10539,2018-10-18,Bulls,,Denzel Valentine,sprained left ankle (out indefinitely)
10540,2018-10-18,Bulls,,Kris Dunn,placed on IL for personal reasons
10541,2018-10-18,Lakers,,Alex Caruso,strained right hip (DTD)
10542,2018-10-18,Lakers,,Moritz Wagner / Moe Wagner,bruised left knee (DTD)
10543,2018-10-18,Pacers,,T.J. Leaf,sprained left ankle (DTD)
10544,2018-10-19,Cavaliers,J.R. Smith,,returned to lineup
10545,2018-10-19,Hawks,,Omari Spellman,sprained left ankle (DTD)
10546,2018-10-19,Mavericks,,Devin Harris,strained left hamstring (DTD)
10547,2018-10-19,Raptors,Chris Boucher,,returned to lineup
10548,2018-10-19,Suns,,Troy Daniels,concussion (DTD)
10549,2018-10-20,Grizzlies,,JaMychal Green,fractured jaw (out indefinitely)
10550,2018-10-20,Magic,,Jonathon Simmons,placed on IL for personal reasons
10551,2018-10-20,Magic,,Timofey Mozgov,sore right knee (out for season)
10552,2018-10-20,Pistons,Reggie Bullock,,returned to lineup
10553,2018-10-20,Pistons,Stanley Johnson,,returned to lineup
10554,2018-10-21,Celtics,,Aron Baynes,strained right hamstring (DTD)
10555,2018-10-21,Hawks,Omari Spellman,,returned to lineup
10556,2018-10-21,Knicks,,Kevin Knox,sprained left ankle (DTD)
10557,2018-10-21,Thunder,Russell Westbrook,,returned to lineup
10558,2018-10-21,Bulls,Omer Asik,,returned to lineup
10559,2018-10-22,Bulls,Kris Dunn,,activated from IL
10560,2018-10-22,Magic,Jonathon Simmons,,activated from IL
10561,2018-10-22,Suns,Troy Daniels,,returned to lineup
10562,2018-10-22,Warriors,Damion Lee,,returned to lineup
10563,2018-10-22,Lakers,Alex Caruso,,returned to lineup
10564,2018-10-23,Bulls,,Kris Dunn,sprained MCL in left knee (out indefinitely)
10565,2018-10-23,Grizzlies,,Chandler Parsons,sore right knee (out indefinitely)
10566,2018-10-23,Nets,,Rodions Kurucs,sprained left ankle (DTD)
10567,2018-10-23,Rockets,,James Ennis,strained right hamstring (DTD)
10568,2018-10-24,Bulls,Cristiano Felicio,,returned to lineup
10569,2018-10-24,Nets,Rondae Hollis-Jefferson,,returned to lineup
10570,2018-10-24,Pacers,T.J. Leaf,,returned to lineup
